<<<<<<< HEAD
Name,Age,Gender,Sport
Love,32,M,Football
Anirudh,40,M,Neither
Pooja,16,F,Cricket
Priya,34,F,Cricket
Akhilesh,55,M,Neither
Rahul,40,M,Cricket
Riya,20,F,Neither
Smith,15,M,Cricket
Laxmi,45,F,Football
John,15,M,Football
=======
Name,Age,Gender,Sport
Love,32,M,Football
Anirudh,40,M,Neither
Pooja,16,F,Cricket
Priya,34,F,Cricket
Akhilesh,55,M,Neither
Rahul,40,M,Cricket
Riya,20,F,Neither
Smith,15,M,Cricket
Laxmi,45,F,Football
John,15,M,Football
>>>>>>> e7580a4735fa5f2d302b1510be7a331e990f2687
